sector,symbol
Information Technology,NFLX
Consumer Discretionary,NWL
Energy,NFX
Materials,NEM
Consumer Discretionary,NWSA
Consumer Discretionary,NWS
Utilities,NEE
Industrials,NLSN
Consumer Discretionary,NKE
Utilities,NI
Energy,NBL
Consumer Discretionary,JWN
Industrials,NSC
Financials,NTRS
Industrials,NOC
Consumer Discretionary,NCLH
Utilities,NRG
Materials,NUE
Information Technology,NVDA
Consumer Discretionary,ORLY
Energy,OXY
Consumer Discretionary,OMC
Energy,OKE
Information Technology,ORCL
Industrials,PCAR
Materials,PKG
Industrials,PH
Information Technology,PAYX
Information Technology,PYPL
Industrials,PNR
Financials,PBCT
Consumer Staples,PEP
Health Care,PKI
Health Care,PRGO
Health Care,PFE
Utilities,PCG
Consumer Staples,PM
Energy,PSX
Utilities,PNW
Energy,PXD
Financials,PNC
Consumer Discretionary,RL
Materials,PPG
Utilities,PPL
Materials,PX
Financials,PFG
Consumer Staples,PG
Financials,PGR
Real Estate,PLD
Financials,PRU
Utilities,PEG
Real Estate,PSA
Consumer Discretionary,PHM
Consumer Discretionary,PVH
Information Technology,QRVO
Information Technology,QCOM
Industrials,PWR
Health Care,DGX
Energy,RRC
Financials,RJF
Industrials,RTN
Real Estate,O
Information Technology,RHT
Real Estate,REG
Health Care,REGN
Financials,RF
Industrials,RSG
Health Care,RMD
Industrials,RHI
Industrials,ROK
Industrials,COL
Industrials,ROP
Consumer Discretionary,ROST
Consumer Discretionary,RCL
Financials,SPGI
Information Technology,CRM
Real Estate,SBAC
Utilities,SCG
Energy,SLB
Information Technology,STX
Materials,SEE
Utilities,SRE
Materials,SHW
Real Estate,SPG
Information Technology,SWKS
Real Estate,SLG
Consumer Discretionary,SNA
Utilities,SO
Industrials,LUV
Consumer Discretionary,SWK
Consumer Discretionary,SBUX
Financials,STT
Industrials,SRCL
Health Care,SYK
Financials,STI
Financials,SIVB
Information Technology,SYMC
Financials,SYF
Information Technology,SNPS
Consumer Staples,SYY
Financials,TROW
Information Technology,TTWO
Consumer Discretionary,TPR
Consumer Discretionary,TGT
Information Technology,TEL
Energy,FTI
Information Technology,TXN
Industrials,TXT
Financials,BK
Consumer Staples,CLX
Health Care,COO
Consumer Staples,HSY
Materials,MOS
Financials,TRV
Consumer Discretionary,DIS
Health Care,TMO
Consumer Discretionary,TIF
Consumer Discretionary,TWX
Consumer Discretionary,TJX
Financials,TMK
Information Technology,TSS
Consumer Discretionary,TSCO
Industrials,TDG
Consumer Discretionary,TRIP
Consumer Discretionary,FOXA
Consumer Discretionary,FOX
Consumer Staples,TSN
Financials,USB
Real Estate,UDR
Consumer Discretionary,ULTA
Consumer Discretionary,UAA
Consumer Discretionary,UA
Industrials,UNP
Industrials,UAL
Health Care,UNH
Industrials,UPS
Industrials,URI
Industrials,UTX
Health Care,UHS
Financials,UNM
Consumer Discretionary,VFC
Energy,VLO
Health Care,VAR
Real Estate,VTR
Information Technology,VRSN
Industrials,VRSK
Telecommunication Services,VZ
Health Care,VRTX
Consumer Discretionary,VIAB
Information Technology,V
Real Estate,VNO
Materials,VMC
Consumer Staples,WMT
Consumer Staples,WBA
Industrials,WM
Health Care,WAT
Utilities,WEC
Financials,WFC
Real Estate,WELL
Information Technology,WDC
Information Technology,WU
Materials,WRK
Real Estate,WY
Consumer Discretionary,WHR
Energy,WMB
Financials,WLTW
Consumer Discretionary,WYN
Consumer Discretionary,WYNN
Utilities,XEL
Information Technology,XRX
Information Technology,XLNX
Financials,XL
Industrials,XYL
Consumer Discretionary,YUM
Health Care,ZBH
Financials,ZION
Health Care,ZTS
